ENST00000003912	NIPAL3
ENST00000581184	MEP1B
ENST00000581193	MYL12B
ENST00000581198	LINC01919
ENST00000581220	RIOK3
ENST00000581226	SMCHD1
ENST00000581232	AC100778.3
ENST00000581272	CNDP2
ENST00000581278	IMPACT
ENST00000581302	RIOK3
ENST00000581327	GREB1L
ENST00000581339	RIOK3
ENST00000581351	AP005121.1
ENST00000581363	ANKRD20A5P
ENST00000581383	SMCHD1
ENST00000581394	TTC39C
ENST00000581397	CABYR
ENST00000581442	GAPLINC
ENST00000581447	MEP1B
ENST00000581467	TIMM21
ENST00000581471	LINC00667
ENST00000581488	AP000919.1
ENST00000581502	AP005062.1
ENST00000581513	CNDP2
ENST00000581520	CCDC102B
ENST00000581532	AC117569.1
ENST00000581537	MIR5190
ENST00000581556	AP000829.1
ENST00000581559	DCC
ENST00000581580	DCC
ENST00000581585	RIOK3
ENST00000581600	CNDP2
ENST00000581601	CDH7
ENST00000581602	ADCYAP1
ENST00000581619	CLUL1
ENST00000581626	AC123786.1
ENST00000581631	SMCHD1
ENST00000581634	AC012572.1
ENST00000581635	ANKRD12
ENST00000581641	TWSG1
ENST00000581670	MTCL1
ENST00000581677	AP000845.1
ENST00000581687	RBBP8
ENST00000581694	GATA6
ENST00000581711	SMCHD1
ENST00000581715	AC090897.1
ENST00000581724	KIAA0895LP1
ENST00000581750	LINC01893
ENST00000581758	ANKRD12
ENST00000581802	PGDP1
ENST00000581819	RBBP8
ENST00000581829	ZNF407
ENST00000581836	DSCAS
ENST00000581872	CABYR
ENST00000581877	AC090415.1
ENST00000581912	CNDP2
ENST00000581920	TYMS
ENST00000581935	ANKRD20A5P
ENST00000581948	PMM2P1
ENST00000581950	POLI
ENST00000581951	AC110597.3
ENST00000581983	USP14
ENST00000581987	AC023394.2
ENST00000581996	AC018413.1
ENST00000582008	LINC00667
ENST00000582020	CLUL1
ENST00000582028	LINC01916
ENST00000582033	AP005202.2
ENST00000582054	DLGAP1-AS4
ENST00000582077	CCDC102B
ENST00000582172	DOK6
ENST00000582188	C18orf54
ENST00000582214	ZNF407
ENST00000582229	CABYR
ENST00000582239	AC090371.2
ENST00000582260	CNDP2
ENST00000582269	AC022960.1
ENST00000582279	ZNF415P1
ENST00000582307	AC012417.1
ENST00000582322	SOCS6
ENST00000582337	ZNF407
ENST00000582354	RBBP8
ENST00000582363	LINC00667
ENST00000582365	CNDP1
ENST00000582366	POLI
ENST00000582371	CCDC102B
ENST00000582386	AP005202.1
ENST00000582435	PPP4R1-AS1
ENST00000582452	LINC00683
ENST00000582461	CNDP1
ENST00000582468	RHOT1P1
ENST00000582470	AP005271.1
ENST00000582472	NAPG
ENST00000582475	SNRPD1
ENST00000582538	AC009831.2
ENST00000582546	AC093330.1
ENST00000582589	CNDP2
ENST00000582591	AP000919.2
ENST00000582595	DCC
ENST00000582605	AQP4-AS1
ENST00000582620	CNDP2
ENST00000582650	AC018697.1
ENST00000582666	CNDP2
ENST00000582687	AC090312.2
ENST00000582689	LINC01630
ENST00000582707	USP14
ENST00000582723	APCDD1
ENST00000582726	AC090365.1
ENST00000582763	AC093330.1
ENST00000582863	AP005208.1
ENST00000582875	DCC
ENST00000582882	CABLES1
ENST00000582910	AC022069.1
ENST00000582939	AP001021.1
ENST00000582943	GALR1
ENST00000582957	CYP4F35P
ENST00000582962	LINC01906
ENST00000582978	NAPG
ENST00000582983	LINC02837
ENST00000582992	DOK6
ENST00000583057	RBBP8
ENST00000583083	LIPG
ENST00000583089	AC090506.1
ENST00000583095	ZNF236
ENST00000583119	USP14
ENST00000583122	AC007922.1
ENST00000583136	POLI
ENST00000583137	RAB31
ENST00000583147	TWSG1
ENST00000583148	LINC01908
ENST00000583153	PTPRM
ENST00000583163	AP005262.1
ENST00000583168	MIR4526
ENST00000583184	AC011825.3
ENST00000583203	CNDP2
ENST00000583216	CNDP2
ENST00000583220	CABLES1
ENST00000583247	LINC01909
ENST00000583287	AC009716.1
ENST00000583289	PTPRM
ENST00000583306	AP005121.2
ENST00000583314	AP001020.3
ENST00000583326	AC093330.1
ENST00000583344	SMCHD1
ENST00000583348	ANKRD20A5P
ENST00000583367	NAPG
ENST00000583375	NDUFV2
ENST00000583384	RNF125
ENST00000583399	CNDP2
ENST00000583410	ARHGAP28
ENST00000583441	SMCHD1
ENST00000583449	MYL12A
ENST00000583475	VAPA
ENST00000583488	ZNF236
ENST00000583493	AC110597.3
ENST00000583497	AP000829.1
ENST00000583558	LINC01915
ENST00000583571	DLGAP1-AS3
ENST00000583576	POLI
ENST00000583578	LINC00683
ENST00000583587	AC091691.1
ENST00000583594	RBBP8
ENST00000583609	LINC01630
ENST00000583612	AC090371.2
ENST00000583629	AC124254.2
ENST00000583687	AC114689.3
ENST00000583695	CNDP2
ENST00000583700	RBBP8
ENST00000583733	RNF138
ENST00000583776	EMILIN2
ENST00000583785	CNDP2
ENST00000583794	AC018697.1
ENST00000583800	SMCHD1
ENST00000583814	RNF125
ENST00000583827	AP005057.1
ENST00000583846	MTL3P
ENST00000583852	AC012588.1
ENST00000583879	VAPA
ENST00000583889	AC093330.1
ENST00000583900	LRRC37A7P
ENST00000583921	RAB31
ENST00000583938	CNDP2
ENST00000583942	LINC02582
ENST00000583946	AP005242.1
ENST00000583985	LINC01892
ENST00000583992	SNRPCP4
ENST00000584002	IGLJCOR18
ENST00000584004	CNDP1
ENST00000584028	LINC01900
ENST00000584036	AP000897.1
ENST00000584046	CLUL1
ENST00000584052	RIOK3
ENST00000584095	TTC39C
ENST00000584109	AP001381.1
ENST00000584120	LINC00683
ENST00000584122	TYMS
ENST00000584130	RIOK3
ENST00000584143	AC109315.1
ENST00000584156	CCDC102B
ENST00000584167	AP001180.4
ENST00000584217	TSHZ1
ENST00000584235	ZNF407
ENST00000584250	TTC39C
ENST00000584252	AC016866.1
ENST00000584255	TXNDC2
ENST00000584287	ARHGAP28
ENST00000584316	CNDP1
ENST00000584321	AP005120.1
ENST00000584331	AC015878.2
ENST00000584346	KIAA0895LP1
ENST00000584361	LINC01387
ENST00000584370	CLUL1
ENST00000584387	ARHGAP28
ENST00000584414	AP005121.1
ENST00000584421	BOD1P1
ENST00000584424	TTC39C
ENST00000584430	AP000894.1
ENST00000584431	AP000919.1
ENST00000584435	DOK6
ENST00000584446	GREB1L
ENST00000584482	AC117569.1
ENST00000584505	MIR4527
ENST00000584511	SCML2P1
ENST00000584531	LINC01443
ENST00000584539	MYL12B
ENST00000584547	AC021382.1
ENST00000584565	ZNF236
ENST00000584566	AC068408.1
ENST00000584576	MIR4743
ENST00000584581	CNDP2
ENST00000584596	APCDD1
ENST00000584613	CNDP2
ENST00000584677	AC011095.1
ENST00000584680	ARIH2P1
ENST00000584710	DCC
ENST00000584722	AP002409.1
ENST00000584733	AKR1B1P6
ENST00000584741	AC119868.1
ENST00000584752	CABYR
ENST00000584768	CNDP2
ENST00000584775	CCDC102B
ENST00000584794	BOLA2P1
ENST00000584796	VAPA
ENST00000584843	AC100863.1
ENST00000584883	CIAPIN1P
ENST00000584896	AP005380.1
ENST00000584897	SMCHD1
ENST00000584898	LINC01900
ENST00000584910	LINC00683
ENST00000584918	AP001180.5
ENST00000584919	LINC01909
ENST00000584925	TIMM21
ENST00000584960	RIOK3
ENST00000584992	RIOK3
ENST00000585015	RALBP1
ENST00000585023	POLI
ENST00000585037	CABYR
ENST00000585042	VAPA
ENST00000585061	CABLES1
ENST00000585067	IMPACT
ENST00000585090	MYL12A
ENST00000585103	RNF138
ENST00000585136	CNDP1
ENST00000585150	AP001178.3
ENST00000585155	CLUL1
ENST00000585177	RBBP8
ENST00000585185	LINC01900
ENST00000585206	DSG2
ENST00000585229	SMCHD1
ENST00000585232	LRRC37A7P
ENST00000585234	ANKRD12
ENST00000585251	AC016866.2
ENST00000585263	CNDP2
ENST00000585323	NEDD4L
ENST00000585331	PSMG2
ENST00000585363	NEDD4L
ENST00000585383	KATNAL2
ENST00000585406	STK25P1
ENST00000585422	PARD6G-AS1
ENST00000585425	HAUS1
ENST00000585426	ASXL3
ENST00000585446	DTNA
ENST00000585448	SMAD4
ENST00000585469	KATNAL2
ENST00000585470	AC105105.2
ENST00000585477	BOD1L2
ENST00000585518	HAUS1
ENST00000585528	PIK3C3
ENST00000585579	FHOD3
ENST00000585590	GNAL
ENST00000585592	MAPRE2
ENST00000585594	NEDD4L
ENST00000585600	LAMA3
ENST00000585627	LINC00907
ENST00000585629	CTBP2P3
ENST00000585639	LINC00907
ENST00000585642	GNAL
ENST00000585662	ZNF532
ENST00000585669	WDR7
ENST00000585674	ATP9B
ENST00000585680	ME2
ENST00000585684	LINC01905
ENST00000585691	AC090377.1
ENST00000585729	AP001120.3
ENST00000585730	SEH1L
ENST00000585754	WDR7
ENST00000585800	ZNF397
ENST00000585803	AC090771.1
ENST00000585824	WDR7
ENST00000585853	PSMG2
ENST00000585864	SEC11C
ENST00000585873	ZCCHC2
ENST00000585897	AC021517.1
ENST00000585931	LDLRAD4
ENST00000585938	CEP192
ENST00000585943	AC091135.1
ENST00000585949	ZCCHC2
ENST00000585951	CTDP1
ENST00000585970	NEDD4L
ENST00000585973	DYNAP
ENST00000585985	AC022031.1
ENST00000586056	SLC14A1
ENST00000586060	HAUS1
ENST00000586085	ZNF532
ENST00000586090	FRG2LP
ENST00000586124	WDR7
ENST00000586135	KIAA1328
ENST00000586142	SLC14A1
ENST00000586145	LINC01255
ENST00000586158	ZNF532
ENST00000586198	KATNAL2
ENST00000586207	LDLRAD4
ENST00000586222	LDLRAD4
ENST00000586226	AP005264.1
ENST00000586227	AC105227.1
ENST00000586230	IMPA2
ENST00000586253	SMAD4
ENST00000586263	NEDD4L
ENST00000586268	NEDD4L
ENST00000586327	ASXL3
ENST00000586360	ST8SIA3
ENST00000586366	ATP9B
ENST00000586386	AC021517.1
ENST00000586389	AC125437.1
ENST00000586404	AC026898.1
ENST00000586421	PARD6G-AS1
ENST00000586434	NFATC1
ENST00000586445	PSMG2
ENST00000586447	LINC00907
ENST00000586448	SLC14A2
ENST00000586467	TCF4-AS2
ENST00000586501	KIAA1328
ENST00000586535	SLC25A6P4
ENST00000586545	PIK3C3
ENST00000586569	TNFRSF11A
ENST00000586570	RAB27B
ENST00000586587	PSMG2
ENST00000586591	AP001029.2
ENST00000586594	RAB27B
ENST00000586604	RNF165
ENST00000586610	AC090386.1
ENST00000586642	AP005264.4
ENST00000586653	TUBB6
ENST00000586672	ATP9B
ENST00000586691	TUBB6
ENST00000586695	NFATC1
ENST00000586709	LAMA3
ENST00000586722	ATP9B
ENST00000586723	ZNF532
ENST00000586725	GALNT1
ENST00000586729	AC027097.2
ENST00000586735	MAPK4
ENST00000586751	LAMA3
ENST00000586765	LDLRAD4
ENST00000586774	ATP9B
ENST00000586798	AC068473.3
ENST00000586810	TUBB6
ENST00000586834	ZCCHC2
ENST00000586841	AC090213.1
ENST00000586847	RBFA
ENST00000586854	SLC14A1
ENST00000586882	AP005264.4
ENST00000586905	MIR4527HG
ENST00000586920	RELCH
ENST00000586926	GNAL
ENST00000586947	LINC01255
ENST00000586948	ASXL3
ENST00000586951	SLC14A1
ENST00000586966	ELAC1
ENST00000586990	LINC00907
ENST00000586997	ZNF532
ENST00000587055	AC105224.1
ENST00000587139	KIAA1328
ENST00000587153	RMC1
ENST00000587174	AC021594.1
ENST00000587184	LAMA3
ENST00000587189	LINC01255
ENST00000587190	NEDD4L
ENST00000587198	RELCH
ENST00000587204	TUBB6
ENST00000587246	NEDD4L
ENST00000587254	PARD6G-AS1
ENST00000587261	PIK3C3
ENST00000587313	EIF4A2P1
ENST00000587328	PIK3C3
ENST00000587344	LDLRAD4
ENST00000587346	AC022031.2
ENST00000587347	HSBP1L1
ENST00000587359	MAPRE2
ENST00000587369	AC091151.2
ENST00000587402	PIK3C3
ENST00000587403	WDR7
ENST00000587407	NRBF2P1
ENST00000587410	ATP9B
ENST00000587418	SIGLEC15
ENST00000587438	MALT1
ENST00000587440	LDLRAD4
ENST00000587493	FHOD3
ENST00000587507	AC087685.1
ENST00000587527	AC068473.4
ENST00000587528	AC104985.1
ENST00000587547	NEDD4L
ENST00000587582	CDH20
ENST00000587591	C18orf25
ENST00000587600	LDLRAD4
ENST00000587601	SLC14A1
ENST00000587612	ZCCHC2
ENST00000587623	CTDP1
ENST00000587634	NEDD4L
ENST00000587635	NFATC1
ENST00000587660	TCF4-AS1
ENST00000587663	ACTBP9
ENST00000587689	OACYLP
ENST00000587690	RMC1
ENST00000587697	TNFRSF11A
ENST00000587714	RELCH
ENST00000587719	C18orf21
ENST00000587723	DTNA
ENST00000587725	RELCH
ENST00000587735	PRELID3A
ENST00000587752	CTIF
ENST00000587755	ZNF532
ENST00000587757	LDLRAD4
ENST00000587761	SEH1L
ENST00000587764	RELCH
ENST00000587769	CTIF
ENST00000587790	OACYLP
ENST00000587823	MAPK4
ENST00000587834	SEC11C
ENST00000587848	ANKRD62
ENST00000587853	RNF165
ENST00000587860	CTIF
ENST00000587862	PRELID3A
ENST00000587873	C18orf21
ENST00000587878	ATP9B
ENST00000587881	NEDD4L
ENST00000587905	LDLRAD4
ENST00000587906	OACYLP
ENST00000587919	ATP9B
ENST00000587933	AC090236.2
ENST00000588001	SLC35G4
ENST00000588004	LAMA3
ENST00000588023	MAP1LC3P
ENST00000588038	ASXL3
ENST00000588063	AP001029.3
ENST00000588066	NEDD4L
ENST00000588085	MAPRE2
ENST00000588088	AC098847.1
ENST00000588119	ZNF397
ENST00000588125	DTNA
ENST00000588132	MOCOS
ENST00000588139	LINC01905
ENST00000588156	PIK3C3
ENST00000588164	LAMA3
ENST00000588167	IMPA2
ENST00000588179	SLC14A1
ENST00000588197	AP001029.2
ENST00000588207	NFE2L3P1
ENST00000588226	PARD6G-AS1
ENST00000588245	AC105094.1
ENST00000588251	SEH1L
ENST00000588256	AC091551.1
ENST00000588284	CHMP1B
ENST00000588298	AC010776.1
ENST00000588345	CTIF
ENST00000588349	MAPRE2
ENST00000588366	POLR3GP2
ENST00000588417	RNMT
ENST00000588433	KATNAL2
ENST00000588436	AP005264.4
ENST00000588446	RELCH
ENST00000588452	PHLPP1
ENST00000588456	ZNF532
ENST00000588457	RNMT
ENST00000588476	ADAD1P2
ENST00000588494	NEDD4L
ENST00000588506	DTNA
ENST00000588516	NEDD4L
ENST00000588517	AC021517.1
ENST00000588540	MAPK4
ENST00000588543	ZNF532
ENST00000588561	AC027514.1
ENST00000588577	ELAC1
ENST00000588600	ATP9B
ENST00000588601	ZNF532
ENST00000588631	PIK3C3
ENST00000588676	ZCCHC2
ENST00000588679	RNF165
ENST00000588684	DTNA
ENST00000588704	HAUS1
ENST00000588712	NEDD4L
ENST00000588718	AP001269.3
ENST00000588729	PRELID3A
ENST00000588730	C18orf25
ENST00000588744	AP005264.4
ENST00000588745	SMAD4
ENST00000588752	IMPA2
ENST00000588766	AC090386.1
ENST00000588770	LAMA3
ENST00000588771	DTNA
ENST00000588772	ATP9B
ENST00000588794	AC090771.2
ENST00000588803	AC009271.1
ENST00000588824	PSMG2
ENST00000588843	AC012254.4
ENST00000588860	SMAD4
ENST00000588863	IMPA2
ENST00000588875	SEC11C
ENST00000588895	ATP9B
ENST00000588910	MAPRE2
ENST00000588916	AC012433.1
ENST00000588921	ATP9B
ENST00000588925	AC027097.2
ENST00000588927	IMPA2
ENST00000588946	AC010776.2
ENST00000588949	DTNA
ENST00000588950	AC139100.1
ENST00000588953	PHLPP1
ENST00000588956	ZNF532
ENST00000588986	SERPINB5
ENST00000589054	NEDD4L
ENST00000589056	PIK3C3
ENST00000589068	LINC00907
ENST00000589076	SMAD4
ENST00000589114	FHOD3
ENST00000589131	ZNF532
ENST00000589156	ZNF532
ENST00000589167	NEDD4L
ENST00000589180	MAPRE2
ENST00000589189	GALNT1
ENST00000589215	RMC1
ENST00000589238	IMPA2
ENST00000589242	AC016229.1
ENST00000589281	AC015961.2
ENST00000589288	ZNF532
ENST00000589322	SLC14A1
ENST00000589326	ATP9B
ENST00000589330	ME2
ENST00000589354	AC010928.1
ENST00000589374	IMPA2
ENST00000589376	LINC01924
ENST00000589403	ZNF532
ENST00000589405	PSMG2
ENST00000589409	RMC1
ENST00000589410	MC5R
ENST00000589420	ZNF397
ENST00000589440	AC009271.1
ENST00000589446	SEH1L
ENST00000589450	LINC01905
ENST00000589476	LINC01926
ENST00000589481	ZNF532
ENST00000589499	SNHG22
ENST00000589516	HSBP1L1
ENST00000589550	PIK3C3
ENST00000589554	HAUS1
ENST00000589565	PRELID3A
ENST00000589566	LINC01255
ENST00000589574	PARD6G-AS1
ENST00000589585	CTIF
ENST00000589596	CEP192
ENST00000589621	AC083760.1
ENST00000589630	ZNF397
ENST00000589662	AC022031.2
ENST00000589678	AC023043.2
ENST00000589699	MAPRE2
ENST00000589700	SLC14A1
ENST00000589706	SMAD4
ENST00000589713	AC090360.1
ENST00000589723	AC068473.3
ENST00000589729	AC040963.1
ENST00000589732	ATP9B
ENST00000589794	AC104971.2
ENST00000589795	AP001029.2
ENST00000589843	AP001029.1
ENST00000589860	RMC1
ENST00000589866	RNMT
ENST00000589873	MALT1
ENST00000589905	AC036176.1
ENST00000589935	WDR7
ENST00000589941	SMAD4
ENST00000589951	ATP9B
ENST00000589952	PRELID3A
ENST00000589983	LINC01905
ENST00000589993	CEP192
ENST00000590013	PIK3C3
ENST00000590020	NEDD4L
ENST00000590032	SEH1L
ENST00000590033	RPSAP57
ENST00000590061	SMAD4
ENST00000590066	PPIAP56
ENST00000590103	TUBB6
ENST00000590104	LAMA3
ENST00000590107	IMPA2
ENST00000590115	LDLRAD4
ENST00000590138	IMPA2
ENST00000590157	ZNF532
ENST00000590163	ATP9B
ENST00000590172	NFATC1
ENST00000590189	ASXL3
ENST00000590217	PSMG2
ENST00000590220	PIK3C3
ENST00000590224	NFATC1
ENST00000590225	ASXL3
ENST00000590228	GNAL
ENST00000590231	AP001120.4
ENST00000590246	SLC14A1
ENST00000590248	NEDD4L
ENST00000590257	AC021517.1
ENST00000590271	ATP9B
ENST00000590285	ZNF532
ENST00000590287	ZNF532
ENST00000590307	KCNG2
ENST00000590308	LDLRAD4
ENST00000590313	NFATC1
ENST00000590330	RNF165
ENST00000590371	LDLRAD4
ENST00000590377	SLC14A1
ENST00000590387	RMC1
ENST00000590388	TUBB6
ENST00000590412	DTNA
ENST00000590415	AC107990.1
ENST00000590422	CTIF
ENST00000590442	ZNF532
ENST00000590456	KIAA1328
ENST00000590470	ZNF397
ENST00000590477	ATP9B
ENST00000590499	SMAD4
ENST00000590506	NEDD4L
ENST00000590535	AC023421.1
ENST00000590557	WDR7
ENST00000590571	HSBP1L1
ENST00000590589	AC006305.3
ENST00000590592	FHOD3
ENST00000590596	PMAIP1
ENST00000590598	DTNA
ENST00000590599	CTDP1
ENST00000590600	ST8SIA3
ENST00000590604	AC007673.1
ENST00000590608	ATP9B
ENST00000590617	KIAA1328
ENST00000590635	CTDP1
ENST00000590638	NEDD4L
ENST00000590640	SMUG1P1
ENST00000590654	GALNT1
ENST00000590693	TUBB6
ENST00000590694	NEDD4L
ENST00000590713	RELCH
ENST00000590722	AC091551.1
ENST00000590727	DTNA
ENST00000590792	CCDC58P3
ENST00000590793	MAPRE2
ENST00000590797	MIR122HG
ENST00000590831	DTNA
ENST00000590840	ZCCHC2
ENST00000590843	SEH1L
ENST00000590861	NFATC1
ENST00000590868	RMC1
ENST00000590870	RMC1
ENST00000590914	GLUD1P4
ENST00000590956	PRELID3A
ENST00000590967	TUBB6
ENST00000590972	GNAL
ENST00000590973	ASXL3
ENST00000590983	AC090229.1
ENST00000591011	PIK3C3
ENST00000591029	LINC01928
ENST00000591045	RSL24D1P11
ENST00000591049	ZNF532
ENST00000591065	NFATC1
ENST00000591081	GALNT1
ENST00000591083	ZNF532
ENST00000591089	NFATC1
ENST00000591098	HAUS1
ENST00000591106	PHLPP1
ENST00000591126	SMAD4
ENST00000591145	ZCCHC2
ENST00000591182	DTNA
ENST00000591183	AC012254.3
ENST00000591187	AC087683.1
ENST00000591191	AC012569.1
ENST00000591199	LINC00907
ENST00000591206	ZNF397
ENST00000591208	TUBB6
ENST00000591211	AC006557.1
ENST00000591227	RELCH
ENST00000591230	ZNF532
ENST00000591318	LINC01255
ENST00000591331	AC016229.2
ENST00000591360	AC105105.1
ENST00000591367	RMC1
ENST00000591378	AP001017.1
ENST00000591381	LINC00907
ENST00000591386	PHLPP1
ENST00000591387	CTIF
ENST00000591395	ATP9B
ENST00000591406	SEC11C
ENST00000591412	CTIF
ENST00000591429	ELAC1
ENST00000591431	LINC01255
ENST00000591435	ZCCHC2
ENST00000591449	WDR7
ENST00000591463	TUBB6
ENST00000591464	ATP9B
ENST00000591505	ZNF397
ENST00000591514	AC090360.1
ENST00000591518	ATP9B
ENST00000591522	KATNAL2
ENST00000591524	WDR7
ENST00000591541	SLC14A1
ENST00000591579	NEDD4L
ENST00000591598	CTDP1
ENST00000591612	RBFA
ENST00000591619	KIAA1328
ENST00000591632	ZCCHC2
ENST00000591635	FHOD3
ENST00000591642	SLC14A1
ENST00000591715	HAUS1
ENST00000591734	MAPRE2
ENST00000591746	RNMT
ENST00000591749	LAMA3
ENST00000591792	MALT1
ENST00000591796	AC100843.2
ENST00000591808	ZNF532
ENST00000591814	NFATC1
ENST00000591816	DTNA
ENST00000591842	HNRNPA3P16
ENST00000591853	AP002414.5
ENST00000591854	AC027097.1
ENST00000591900	AC040963.1
ENST00000591909	TUBB6
ENST00000591911	KIAA1328
ENST00000591922	RNMT
ENST00000591924	GALNT1
ENST00000591925	ME2
ENST00000591989	NEDD4L
ENST00000592005	KATNAL2
ENST00000592013	TNFRSF11A
ENST00000592032	WDR7-OT1
ENST00000592045	LINC01905
ENST00000592097	NEDD4L
ENST00000592114	DTNA
ENST00000592119	RMC1
ENST00000592121	AC090621.1
ENST00000592128	FHOD3
ENST00000592149	PRELID3A
ENST00000592170	SEH1L
ENST00000592186	SMAD4
ENST00000592201	AC027097.1
ENST00000592203	AP005264.3
ENST00000592206	HAUS1
ENST00000592223	NFATC1
ENST00000592249	ZNF532
ENST00000592264	ZNF397
ENST00000592288	ASXL3
ENST00000592307	TPMTP1
ENST00000592334	RAB27B
ENST00000592349	ASXL3
ENST00000592352	HSBP1L1
ENST00000592442	LAMA3
ENST00000592449	DTNA
ENST00000592451	MRPL37P1
ENST00000592452	ZNF532
ENST00000592471	HAUS1
ENST00000592477	AC010928.1
ENST00000592479	RELCH
ENST00000592499	AC021594.2
ENST00000592519	LAMA3
ENST00000592521	KIAA1328
ENST00000592541	ASXL3
ENST00000592549	AC098847.1
ENST00000592582	SEH1L
ENST00000592595	MAPK4
ENST00000592601	NEDD4L
ENST00000592611	KIAA1328
ENST00000592657	LDLRAD4
ENST00000592658	CTIF
ENST00000592682	RMC1
ENST00000592683	TUBB6
ENST00000592764	RNMT
ENST00000592770	ASNSP6
ENST00000592774	SEC11C
ENST00000592777	RNF165
ENST00000592801	AP005264.4
ENST00000592812	LDLRAD4
ENST00000592830	MRPS5P4
ENST00000592846	NEDD4L
ENST00000592875	C18orf21
ENST00000592911	SMAD4
ENST00000592926	AC006557.3
ENST00000592930	FHOD3
ENST00000592936	AC022031.2
ENST00000592991	LDLRAD4
ENST00000593007	RNMT
ENST00000593019	RBFA
ENST00000593051	LINC00907
ENST00000593058	WDR7
ENST00000593078	AC090220.1
ENST00000593081	RMC1
ENST00000593098	PIK3C3
ENST00000593132	SEC11C
ENST00000593165	HAUS1
ENST00000593178	SIGLEC15
ENST00000593180	LINC01905
ENST00000593195	ASXL3
ENST00000593210	C18orf21
ENST00000593217	RELCH
ENST00000593223	SMAD4
ENST00000593230	RNF165
ENST00000593234	LINC00907
ENST00000593235	ASXL3
ENST00000593236	LDLRAD4
ENST00000593316	LINC00907
ENST00000595022	DTNA
ENST00000595199	HAUS1
ENST00000596745	DTNA
ENST00000597477	PIK3C3
ENST00000597599	DTNA
ENST00000597674	DTNA
ENST00000598142	DTNA
ENST00000598334	DTNA
ENST00000598649	MIR4527HG
ENST00000598774	DTNA
ENST00000599493	KIAA1328
ENST00000599498	AC120349.1
ENST00000599844	DTNA
ENST00000600127	MIR4527HG
ENST00000601125	DTNA
ENST00000601437	KIAA1328
ENST00000601632	DTNA
ENST00000601719	ZNF397
ENST00000601895	DTNA
ENST00000601948	LINC00907
ENST00000602118	SIGLEC15
ENST00000602329	AC090241.2
ENST00000602333	AC090241.2
ENST00000602456	AC036176.3
ENST00000602628	GNAL
ENST00000603126	AC006557.5
ENST00000604699	AC069114.2
ENST00000606807	MIR3976
ENST00000608010	AC023983.2
ENST00000608032	AP000919.3
ENST00000608049	ROCK1P1
ENST00000608786	MYL12A
ENST00000608943	AC006566.1
ENST00000609094	RALBP1
ENST00000609424	AP000864.1
ENST00000609587	SMCHD1
ENST00000609611	AP001269.4
ENST00000609701	AP001033.2
ENST00000610087	LDLRAD4
ENST00000610185	AP000894.4
ENST00000610304	SERPINB11
ENST00000610404	TTR
ENST00000610527	C18orf21
ENST00000611384	AC087683.2
ENST00000611482	AC018529.2
ENST00000611534	TXNDC2
ENST00000611848	SMAD4
ENST00000611889	LINC01879
ENST00000612024	AC018529.2
ENST00000612081	AC023043.4
ENST00000612354	AC021506.2
ENST00000612461	PSMA8
ENST00000612669	AC116003.3
ENST00000613063	AC018529.1
ENST00000613122	CTDP1
ENST00000613153	AC116447.1
ENST00000613453	AC018413.1
ENST00000613567	SERPINB11
ENST00000613588	AC015819.1
ENST00000613781	TTR
ENST00000613819	AC040896.1
ENST00000615052	C18orf25
ENST00000615075	AC105227.2
ENST00000615148	RMC1
ENST00000615495	AC139100.1
ENST00000615535	SNHG22
ENST00000615553	C18orf25
ENST00000615645	WDR7
ENST00000615893	MLECP1
ENST00000616078	LINC01879
ENST00000616153	MIR6718
ENST00000616649	SALL3
ENST00000616710	TNFRSF11A
ENST00000616901	AC139100.2
ENST00000617039	TNFRSF11A
ENST00000617349	AC010776.3
ENST00000617539	NEDD4L
ENST00000617833	SNHG22
ENST00000618001	TGIF1
ENST00000618230	AC011815.2
ENST00000618334	C18orf21
ENST00000618739	AC009704.2
ENST00000619230	C18orf25
ENST00000619301	C18orf25
ENST00000619403	SLC14A1
ENST00000619595	SERPINB10
ENST00000619794	AC022960.3
ENST00000619893	AC015967.1
ENST00000619899	AC027097.1
ENST00000619964	AP005212.2
ENST00000620089	CLUL1
ENST00000620105	C18orf54
ENST00000620563	AC096708.3
ENST00000620598	AC104985.2
ENST00000620744	AC009831.3
ENST00000620778	AC090340.1
ENST00000621048	ZCCHC2
ENST00000621648	CABYR
ENST00000622635	AC105105.4
ENST00000622763	AC104971.3
ENST00000622985	ZNF516-DT
ENST00000623071	AC006557.6
ENST00000623093	AP005264.6
ENST00000623202	AC011155.1
ENST00000623262	SERPINB11
ENST00000623263	AC015959.1
ENST00000623277	LIPG
ENST00000623329	C18orf12
ENST00000623380	AC105074.1
ENST00000623524	AC091060.1
ENST00000623573	AC012254.5
ENST00000623680	C18orf15
ENST00000623844	AP005205.3
ENST00000623938	AC068254.2
ENST00000624000	AC009831.4
ENST00000624037	AC016866.3
ENST00000624049	AC091305.1
ENST00000624066	AC018445.4
ENST00000624092	AC015967.2
ENST00000624177	AC018445.3
ENST00000624194	AC011815.3
ENST00000624346	AC006557.6
ENST00000624377	AC120349.3
ENST00000624383	AC099689.3
ENST00000624404	AC021766.1
ENST00000624518	SERPINB11
ENST00000624521	AC090506.2
ENST00000624725	AC048380.2
ENST00000624895	AC090241.2
ENST00000624979	AC022919.1
ENST00000624990	AC022743.1
ENST00000625003	AP005264.5
ENST00000625052	AC064801.2
ENST00000625076	AC102797.2
ENST00000625180	AC125437.2
ENST00000625182	AC023090.2
